gene,pathway,signature
DEFB1,signal_transduction,core
IL12A,signal_transduction,core
IL16,signal_transduction,core
IL1RL2,signal_transduction,core
IL1RN,signal_transduction,core
IL2RB,signal_transduction,core
IL31RA,signal_transduction,core
IL6ST,signal_transduction,core
JAK1,signal_transduction,core
NFKBIL1,signal_transduction,core
PRR7,signal_transduction,core
TLR4,signal_transduction,core
TSLP,signal_transduction,core
WNT3,signal_transduction,core
WNT5B,signal_transduction,core
WNT9A,signal_transduction,core
WNT10A,signal_transduction,core
WNT10B,signal_transduction,core
WNT11,signal_transduction,core
ADAM15,skin_barrier_function,core
ALDH3A1,skin_barrier_function,core
DEGS2,skin_barrier_function,core
ELOVL1,skin_barrier_function,core
FABP3,skin_barrier_function,core
FABP4,skin_barrier_function,core
FABP9,skin_barrier_function,core
GJB5,skin_barrier_function,core
GJB7,skin_barrier_function,core
ITGA1,skin_barrier_function,core
KLK5,skin_barrier_function,core
KLK9,skin_barrier_function,core
KLK11,skin_barrier_function,core
KLK14,skin_barrier_function,core
KRT7,skin_barrier_function,core
KRT10,skin_barrier_function,core
LCE2A,skin_barrier_function,core
SDC1,skin_barrier_function,core
IL2,Th1,dynamic
IL27,Th1,dynamic
IL27RA,Th1,dynamic
IL36G,Th1,dynamic
STAT1,Th1,dynamic
STAT4,Th1,dynamic
IFNG,Th1,dynamic
CXCL10,Th1,dynamic
CXCL9,Th1,dynamic
IL4,Th2,dynamic
IL5,Th2,dynamic
IL13,Th2,dynamic
IL31,Th2,dynamic
IL33,Th2,dynamic
CCL13,Th2,dynamic
CCL17,Th2,dynamic
CCL18,Th2,dynamic
CCL22,Th2,dynamic
IL12B,Th17,dynamic
IL17A,Th17,dynamic
IL17C,Th17,dynamic
IL17F,Th17,dynamic
IL22,Th17,dynamic
IL23A,Th17,dynamic
STAT3,Th17,dynamic
CXCL1,Th17,dynamic
CXCL2,Th17,dynamic
S100A7A,Th17,dynamic
S100A7,Th17,dynamic
S100A8,Th17,dynamic
S100A9,Th17,dynamic
GZMB,NK_cells,dynamic
PRF1,NK_cells,dynamic
KLRD1,NK_cells,dynamic
FCGR3A,NK_cells,dynamic
CD226,NK_cells,dynamic
CRTAM,NK_cells,dynamic
PRDM1,NK_cells,dynamic
KRT1,skin_barrier_function,dynamic
KRT16,skin_barrier_function,dynamic
FLG,skin_barrier_function,dynamic
FLG2,skin_barrier_function,dynamic
LOR,skin_barrier_function,dynamic
ELOVL3,skin_barrier_function,dynamic
ELOVL6,skin_barrier_function,dynamic
SERPINB4,skin_barrier_function,dynamic
LCE1B,skin_barrier_function,dynamic
LCE1C,skin_barrier_function,dynamic
LCE3A,skin_barrier_function,dynamic
LCE3C,skin_barrier_function,dynamic
LCE3D,skin_barrier_function,dynamic
LCE3E,skin_barrier_function,dynamic